Name,User,Location,Total tweets,Retweets,Images,Links,Chats,Text tweets,Impacts,Followers,User value,Tweets value
@AntonioMaestre,AntonioMaestre,"Fuenlabrada, España",18,0,5,9,0,4,6386785,362100,817.6,15979.61
@reformanacional,REFORMA Nacional,Ciudad de México,2,0,2,0,0,0,722214,361107,817.19,1961.26
@jimsciutto,Jim Sciutto,"Washington, DC & New York, NY",11,0,0,1,0,10,3916581,360503,843.76,9268.15
@DailyMailUK,Daily Mail U.K.,"London, UK",3,0,0,3,0,0,1081474,360492,823.4,2717.22
@FrankBruni,Frank Bruni,"New York, NY",1,0,0,1,0,0,360137,360137,837.04,920.74
@LaGrondonaTwitt,LaGrondona,Entre Ríos,2,0,0,1,0,1,719799,359900,662.54,1391.33
@JohnJHarwood,John Harwood,"Washington, DC",11,0,0,5,0,6,3892589,359309,842.84,9567.61
@OhNoSheTwitnt,The Volatile Mermaid,She/Her,5,0,0,0,0,5,1781457,358521,685.28,3407.92
@SenWhitehouse,Sheldon Whitehouse,Rhode Island,4,0,0,3,0,1,1431715,358318,815.86,3514.7
@Beadrian,Beatriz Adrián,"Caracas, Venezuela",6,0,3,0,0,3,2141517,358313,800.18,5262.54
@educationgovuk,Department for Education,"London, UK",3,0,2,3,0,0,1074927,358309,814.97,3047.99
@TeleFootball,Telegraph Football,,1,0,0,1,0,0,358283,358283,818.76,900.64
@SASBurnerAcct,Stephen A. Smith Burner,First Take,6,0,6,0,0,0,2076916,358273,641.68,4568.71
@brusnos,febre amar ela 𓆏,"Londrina, Brasil",3,0,1,1,0,1,1068051,358046,654.82,2150.3
@Number10cat,Larry the Cat,"Downing Street, Westminster",1,0,1,0,0,0,357190,357190,667.85,801.42
@PamJiles,#PamelaJilesDiputada,,3,0,1,0,0,2,1070862,356954,785.11,2512.35
@ernestosamperp,Ernesto Samper P.,Colombia,1,0,0,0,0,1,356412,356412,790.02,790.02
@ForcadellCarme,Carme Forcadell,,1,0,0,0,0,1,356227,356227,792.9,792.9
@luciano_hang,Luciano Hang,Brusque - SC,3,0,2,1,0,0,1065419,356221,652.15,2276.23
@souvodka,Duny,,1,0,1,0,0,0,355787,355787,662.51,795.01
@nqtv,Rémi Gaillard,,1,0,0,0,0,1,355709,355709,786.22,786.22
@CapehartJ,Jonathan Capehart,"Washington, DC",4,0,1,3,0,1,1420839,355625,819.94,3702.72
@NoContextHearn,No Context Hearn,,1,0,1,0,0,0,355613,355613,649.37,779.24
@MeDicenWally,Wally.,"Bogotá, D.C., Colombia",1,0,0,0,0,1,355331,355331,782.25,782.25
@_SJPeace_,StanceGrounded,"Detroit, MI",2,0,2,0,0,0,707855,355315,645.29,1554.17
@bernardopkuster,Bernardo P Küster 🇧🇷,"Londrina, Brasil",4,0,0,1,0,3,1409134,354665,651.96,2657.01
@RepJerryNadler,(((Rep. Nadler))),"New York, NY",1,0,0,0,0,1,354650,354650,803.87,803.87
@cediosman,Cedi Osman,"Cleveland, OH",1,0,0,0,0,1,354510,354510,779.74,779.74
@SoyCristianRey,Cristian Rey,México ,1,0,1,0,0,0,354039,354039,652.63,783.16
@Atheist_Krishna,Krishna,"Hyderabad, India",2,0,0,0,0,2,706013,353930,651.51,1306.04
@UNICEFMexico,UNICEF México,México,1,0,1,0,1,0,353780,353780,785.63,188.55
@maiklaguna,Miguel Angel Breceda,"Cd. Lerdo, Mexico",1,0,1,0,0,0,353652,353652,777.54,933.05
@highsnobiety,HIGHSNOBIETY,New York City & Berlin,1,0,1,1,0,0,353567,353567,817.6,1079.23
@ShooterMcGavin_,Shooter McGavin,,1,0,0,0,0,1,353508,353508,653.48,653.48
@GFiuza_Oficial,Guilherme Fiuza,,12,0,0,7,0,5,4072915,352684,648.86,7953.76
@CroixRouge,Croix-Rouge fr,France,1,0,1,0,0,0,352040,352040,785.42,942.5
@zerocalcare,zerocalcare,,1,0,1,0,0,0,352005,352005,779.87,935.84
@karynmaughan,Karyn Maughan,"Johannesburg, South Africa",1,0,0,0,0,1,351905,351905,780.35,780.35
@FuelOnline,Scott Levy,"Boston, MA",1,0,1,0,0,0,351800,351800,783.99,940.79
@allinwithchris,All In with Chris Hayes,,6,0,6,0,0,0,2093914,351745,788.01,5693.94
@joseantoniokast,José Antonio Kast 🇨🇱,Chile.,8,0,3,2,0,3,2810839,351501,761.82,6701.52
@lucialopezchile,Lucía López 💚,,1,0,0,0,0,1,351454,351454,644.58,644.58
@AnaKasparian,Ana Kasparian,Los Angeles,1,0,0,1,0,0,351303,351303,804.56,885.02
@rcbregman,Rutger Bregman,,2,0,0,2,0,0,702172,351086,788.33,1734.32
@SecretaryCarson,Ben Carson,,2,0,1,1,0,0,697845,350538,771.6,1781.4
@akin_adesina,Akinwumi A. Adesina,"Abidjan, Côte d'Ivoire",2,0,0,0,0,2,697039,350537,764.97,1537.98
@psol50,PSOL 50,Brasília-DF,1,0,0,0,0,1,350493,350493,774.13,774.13
@CHRIStophrWOOD,Chris Wood,"Los Angeles, CA",1,0,0,1,0,0,349920,349920,777.49,855.24
@PahlaviReza,Reza Pahlavi,,1,0,0,0,0,1,349385,349385,777.99,777.99
@ouiludida,Iludida,,2,0,0,0,0,2,696891,348446,637.25,1274.5
@issa,issa,switzerland,1,0,0,0,0,1,348187,348187,764.62,764.62
@RandyRainbow,Randy Rainbow,New York,3,0,0,0,0,3,1040495,348076,777.13,2323.83
@georgegalloway,George Galloway,"London, England",1,0,0,0,0,1,347757,347757,792.93,792.93
@allamand,Andrés Allamand,"Santiago, Chile",1,0,0,0,0,1,347590,347590,775.51,775.51
@hondadeal4vets,Joseph Urban,,2,0,1,0,0,1,694430,347577,640.77,1408.52
@MattOswaltVA,Matt Oswalt,,1,0,0,1,0,0,347218,347218,779.49,857.44
@japantimes,The Japan Times,Tokyo,2,0,0,1,0,1,693928,346964,865.06,1816.63
@DavidJHarrisJr,David J Harris Jr,"Texas, USA",6,0,1,2,0,3,2047811,346953,634.32,4032.48
@AmineMaTue,😄😃,aminematue@gmail.com,1,0,0,0,0,1,346894,346894,640.6,640.6
@vanedelatorre,Vanessa De La Torre,Bogotá D.C,1,0,0,0,0,1,346695,346695,768.79,768.79
@dwnews,DW News,Germany,5,0,4,2,0,0,1703514,346606,803.86,4858.08
@AstroKatie,Katie Mack,"Waterloo, Ontario",1,0,0,0,0,1,346385,346385,800.54,800.54
@Super70sSports,Super 70s Sports,"Chicago, IL",1,0,1,0,0,0,346339,346339,647.89,777.47
@JoynerLucas,Joyner Lucas,Everywhere,1,0,0,0,0,1,346198,346198,763.94,763.94
@SatoMasahisa,佐藤正久,東京都千代田区→ → → 全国,2,0,1,2,0,0,690998,345499,829.95,2008.48
@monaeltahawy,Mona Eltahawy,Cairo/NYC,2,0,1,1,0,0,690067,345209,821.62,1890.18
@IWF,IWF,"Washington, D.C.",1,0,1,1,0,0,345088,345088,725.63,957.83
@mistachrish,Chrish,"Los Angeles, CA",1,0,0,0,0,1,345002,345002,759.47,759.47
@mariadorosario,Maria do Rosário,Brasil,1,0,0,1,0,0,344948,344948,767.91,844.7
@ONUBrasil,ONU Brasil,,1,0,1,1,0,0,344842,344842,776.14,1024.5
@ByDonkeys,Led By Donkeys,United Kingdom,1,0,1,0,0,0,344271,344271,637.12,764.54
@LINEjp_official,LINE,ホップ・ステップで送ろうか,1,0,1,1,0,0,343202,343202,775.75,1023.99
@davidfrawleyved,Dr David Frawley,"Santa Fe, NM USA",6,0,0,1,0,5,2027520,343119,760.3,4575.46
@DrBeniRusani,Beni Rusani,,6,0,5,2,0,1,2033655,342360,626.24,4445.82
@Realbrianaroy,BRIANA ROY,Los Angeles,1,0,1,0,0,0,342309,342309,711.36,853.63
@RobinsonDiazU,Robinson Diaz,Colombia,5,0,0,0,0,5,1709802,341961,754.66,3773.3
@modgovksa,وزارة الدفاع 🇸🇦,المملكة العربية السعودية,4,0,4,1,0,0,1329691,341826,730.19,3622.77
@axios,Axios,,10,0,1,10,1,0,3366143,341365,809.05,8252.69
@daraprayoga_,oka,Bekasi-Jakarta-Bogor,1,0,1,0,0,0,341209,341209,629.53,755.44
@billmckibben,Bill McKibben,Vermont,1,0,0,1,0,0,341132,341132,831.03,914.13
@seunokin,SeunOkin Channels tv,Lagos,1,0,0,0,0,1,340848,340848,750.74,750.74
@timberners_lee,Tim Berners-Lee,Boston,1,0,0,1,0,0,340822,340822,856.43,942.07
@HeyTammyBruce,Tammy Bruce,New York/Los Angeles,3,0,1,1,0,1,1019460,340736,783.53,2580.09
@KemenkesRI,Kemenkes RI,"Jakarta, Indonesia",10,0,10,0,0,0,3137836,340661,708.37,8381.92
@GeraldoRivera,Geraldo Rivera,New York City,5,0,0,0,1,4,1690230,339815,769.65,3217.59
@DilsinhoOficial,Dilsinho,Rio de Janeiro,1,0,0,0,0,1,339739,339739,747.61,747.61
@NicolaPorro,Nicola Porro,,1,0,0,1,0,0,339674,339674,756.61,832.27
@HarvardChanSPH,HarvardPublicHealth,"Boston, MA",1,0,1,0,0,0,339245,339245,784.4,941.28
@GeorgeMonbiot,George Monbiot,,4,0,1,2,0,1,1352067,338996,662.8,2917.71
@JasonKander,Jason Kander @ 🏡,"Kansas City, MO",2,0,1,0,0,1,677895,338948,774.09,1703
@Presidencia_VE,Centro de Comunicación Nacional,"Caracas, Venezuela",4,0,2,1,0,1,1333237,338919,736.81,3333.62
@EliseStefanik,Elise Stefanik,#NY21 ,3,0,0,2,0,1,1012775,338834,755.04,2415.82
@krystalball,Krystal Ball,"King George, VA",6,0,0,3,0,3,2017350,338672,767.43,4843.35
@USAenEspanol,USA en Español,,1,0,1,0,0,0,338641,338641,761.08,913.3
@JonahDispatch,Jonah Goldberg,"Washington, DC",1,0,0,1,0,0,338604,338604,805.24,885.76
@IASassociation,IAS Association,New Delhi,1,0,0,1,1,0,338576,338576,746.03,164.13
@garciabanchs,Ángel García Banchs,"Madrid, España",2,0,1,0,0,1,676222,338388,765.83,1683.74
@MrAndyNgo,Andy Ngo,,10,0,2,9,0,0,3379732,338330,759.76,8594.11
@faisalislam,Faisal Islam,London(head) Manchester(heart),2,0,0,2,0,0,674477,338217,790.49,1743.62
@BrandonStraka,Brandon Straka,"New York, USA",3,0,0,1,0,2,1001116,338208,738.94,2303.88
@RealMattCouch,Matt Couch 🎙,"NW Arkansas, USA",30,0,1,0,0,29,9952342,338204,596.51,17684.18
@ScottMorrisonMP,Scott Morrison,"Canberra, Australia",1,0,1,0,0,0,338065,338065,759.62,911.54
@vxtakaki,"takaki "")",pv-sp,2,0,1,1,0,0,675983,337992,627.02,1442.14
@2020predicts,2020 Predictions,The Future,8,0,1,0,0,7,2618565,336793,599.85,4943.28
@Mcrebeccaofc,Mc Rebecca #EnquantoTiverFunkÉCarnaval,"Rio de Janeiro, Brasil",1,0,0,0,0,1,336753,336753,740.89,740.89
@wwwmlna,milena,"Cuiabá, Brasil",5,0,0,1,0,4,1662208,336083,626.38,3164.12
@JacksonMthembu_,Minister Jackson Mthembu,Johannesburg,1,0,1,0,0,0,336021,336021,740.92,889.1
@sanghaviharsh,Harsh Sanghavi,Gujarat,1,0,1,0,0,0,335969,335969,741.09,889.31
@davidchang,Dave Chang,"New York, NY",1,0,0,1,0,0,335966,335966,766.57,843.23
@thecjpearson,CJ Pearson,"Georgia, USA",3,0,1,0,0,2,1005600,335204,750.45,2401.42
@ninaturner,Nina Turner,"Cleveland, OH",9,0,0,9,0,0,2973903,335145,761.48,7444.87
@aciprensa,ACI Prensa,,11,0,8,3,0,0,3615770,335072,755.57,9582.97
@MayorOfLA,Mayor Eric Garcetti,"Los Angeles, CA",1,0,1,1,0,0,334989,334989,769.73,1016.04
@nbcbayarea,NBC Bay Area,San Francisco Bay Area,1,0,0,1,0,0,334988,334988,772.47,849.72
@UdeA,Universidad de Antioquia,Medellín - Colombia,2,0,1,0,0,1,663970,334133,617.62,1350.16
@ItsMutai,Lord Abraham M. Mutai,"Nairobi, Kenya",1,0,1,0,0,0,334125,334125,692.57,831.08
@BarbMcQuade,Barb McQuade,"Ann Arbor, MI",6,0,0,5,1,0,1964147,333641,750.45,4217.68
@lnstantFoot,Instant Foot ⚽️,"Paris, France",3,0,3,0,0,0,984500,333618,614.67,2179.99
@TansuYegen,Tansu YEĞEN 🤖,"Istanbul, Turkey",2,0,2,1,0,0,660928,332781,732.22,1857.43
@avucic,Александар Вучић,"Србија, Београд",1,0,0,1,0,0,332317,332317,736.86,810.55
@PHE_uk,Public Health England,United Kingdom,4,0,4,4,0,0,1244035,332206,712.9,3756.7
@NewDay,New Day,,2,0,2,2,0,0,663192,331932,750.84,1980.38
@AMISHDEVGAN,Amish Devgan,Delhi,3,0,0,1,0,2,991196,331745,729.06,2264.04
@Susan_Hennessey,Susan Hennessey,"Washington, DC",3,0,0,3,0,0,993463,331511,774.85,2554.39
@CMOTamilNadu,Edappadi K Palaniswami,"Chennai, India",1,0,0,0,0,1,331384,331384,731.64,731.64
@tv3_ghana,#TV3GH,Kanda,1,0,1,0,0,0,331252,331252,730.83,877
@GobiernoJalisco,Gobierno de Jalisco,"Jalisco, México",1,0,1,0,0,0,331159,331159,737.25,884.7
@mustafarmagan,mustafa armagan,,1,0,0,1,0,0,331013,331013,736.96,810.66
@Flagfrogfiz,Flagfrog,Thailand,1,0,1,0,0,0,330838,330838,608.82,730.58
@CNNBrasil,CNN Brasil,"São Paulo, Brasil",4,0,3,2,0,0,1323188,330799,737.3,3553.77
